run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
vpt_shallow_seed0,cbis_ddsm,drift,0.5,362,256,0.7071823204419889,0.5931683592182942,0.1,37,0.13671875,0.9459459459459459,0.68
vpt_shallow_seed0,cbis_ddsm,drift,0.5,362,256,0.7071823204419889,0.5931683592182942,0.2,73,0.26171875,0.9178082191780822,0.6539792387543253
vpt_shallow_seed0,cbis_ddsm,drift,0.5,362,256,0.7071823204419889,0.5931683592182942,0.3,109,0.3828125,0.8990825688073395,0.6245059288537549
vpt_shallow_seed0,cbis_ddsm,drift,0.5,362,256,0.7071823204419889,0.5931683592182942,0.5,181,0.58203125,0.8232044198895028,0.5911602209944752
vpt_shallow_seed0,cbis_ddsm,iou_pred,0.5,362,256,0.7071823204419889,0.8146921464986803,0.1,37,0.09375,0.6486486486486487,0.7138461538461538
vpt_shallow_seed0,cbis_ddsm,iou_pred,0.5,362,256,0.7071823204419889,0.8146921464986803,0.2,73,0.17578125,0.6164383561643836,0.7301038062283737
vpt_shallow_seed0,cbis_ddsm,iou_pred,0.5,362,256,0.7071823204419889,0.8146921464986803,0.3,109,0.2578125,0.6055045871559633,0.7509881422924901
vpt_shallow_seed0,cbis_ddsm,iou_pred,0.5,362,256,0.7071823204419889,0.8146921464986803,0.5,181,0.4453125,0.6298342541436464,0.7845303867403315
zero_shot,busi,drift,0.5,647,90,0.1391035548686244,0.07381500214951903,0.1,65,0.2111111111111111,0.2923076923076923,0.12199312714776632
zero_shot,busi,drift,0.5,647,90,0.1391035548686244,0.07381500214951903,0.2,130,0.4111111111111111,0.2846153846153846,0.10251450676982592
zero_shot,busi,drift,0.5,647,90,0.1391035548686244,0.07381500214951903,0.3,195,0.4888888888888889,0.22564102564102564,0.10176991150442478
zero_shot,busi,drift,0.5,647,90,0.1391035548686244,0.07381500214951903,0.5,324,0.6777777777777778,0.1882716049382716,0.08978328173374613
zero_shot,busi,iou_pred,0.5,647,90,0.1391035548686244,0.034302852489683615,0.1,65,0.4,0.5538461538461539,0.09278350515463918
zero_shot,busi,iou_pred,0.5,647,90,0.1391035548686244,0.034302852489683615,0.2,130,0.7222222222222222,0.5,0.048355899419729204
zero_shot,busi,iou_pred,0.5,647,90,0.1391035548686244,0.034302852489683615,0.3,195,0.8333333333333334,0.38461538461538464,0.033185840707964605
zero_shot,busi,iou_pred,0.5,647,90,0.1391035548686244,0.034302852489683615,0.5,324,0.9555555555555556,0.2654320987654321,0.01238390092879257
zero_shot,cbis_ddsm,drift,0.5,362,222,0.6132596685082873,0.5998374290203857,0.1,37,0.11711711711711711,0.7027027027027027,0.6030769230769231
zero_shot,cbis_ddsm,drift,0.5,362,222,0.6132596685082873,0.5998374290203857,0.2,73,0.21171171171171171,0.6438356164383562,0.6055363321799307
